country_name,type,product,flow,year,value
Australia,Balance,Crude oil,Consumption Pattern,2021,1354.909
Australia,Balance,Crude oil,Consumption Pattern,2022,1301.929
Australia,Balance,Crude oil,Consumption Pattern,2023,1566.267
Australia,Balance,Crude oil,Industrial Production,2021,18029.678
Australia,Balance,Crude oil,Industrial Production,2022,1469.537
Australia,Balance,Crude oil,Industrial Production,2023,1345.061
Australia,Balance,Crude oil,Storage Channelization,2023,170.022
Australia,Balance,Gasoline and diesel,Net Deliveries,2021,26337.065
Australia,Balance,Gasoline and diesel,Net Deliveries,2022,2332.608
Australia,Balance,Gasoline and diesel,Net Deliveries,2023,2204.141
Australia,Balance,Liquified Petroleum Gas,Net Deliveries,2021,836.0
Australia,Balance,Liquified Petroleum Gas,Net Deliveries,2022,58.0
Australia,Balance,Liquified Petroleum Gas,Net Deliveries,2023,50.0
Australia,Balance,Middle distillates,Consumption Pattern,2021,1981.457
Australia,Balance,Middle distillates,Consumption Pattern,2022,1981.457
Australia,Balance,Middle distillates,Consumption Pattern,2023,1966.873
Australia,Balance,Middle distillates,Storage Channelization,2023,57.512
Australia,Balance,Other oil products,Net Deliveries,2021,1851.196
Australia,Balance,Other oil products,Net Deliveries,2022,144.931
Australia,Balance,Other oil products,Net Deliveries,2023,145.414
Australia,Balance,Residual fuel oil,Consumption Pattern,2021,135.096
Australia,Balance,Residual fuel oil,Consumption Pattern,2022,98.618
Australia,Balance,Residual fuel oil,Consumption Pattern,2023,118.329
Australia,Balance,Residual fuel oil,Net Deliveries,2021,219.085
Australia,Balance,Residual fuel oil,Net Deliveries,2022,26.456
Australia,Balance,Residual fuel oil,Net Deliveries,2023,30.071
Australia,Balance,Residual fuel oil,Storage Channelization,2023,14.354
Australia,Balance,Total gas oil production,Consumption Pattern,2021,842.388
Australia,Balance,Total gas oil production,Consumption Pattern,2022,842.388
Australia,Balance,Total gas oil production,Consumption Pattern,2023,749.26
Australia,Balance,Total gas oil production,Net Deliveries,2021,11898.631
Australia,Balance,Total gas oil production,Net Deliveries,2022,1075.634
Australia,Balance,Total gas oil production,Net Deliveries,2023,1037.531
Australia,Balance,Total gas oil production,Storage Channelization,2023,6.138
Australia,Balance,Total kerosene production,Net Deliveries,2021,4950.512
Australia,Balance,Total kerosene production,Net Deliveries,2022,524.231
Australia,Balance,Total kerosene production,Net Deliveries,2023,630.759
Australia,Balance,Total oil production,Consumption Pattern,2021,4973.127
Australia,Balance,Total oil production,Consumption Pattern,2022,4971.319
Australia,Balance,Total oil production,Consumption Pattern,2023,5242.901
Australia,Balance,Total oil production,Storage Channelization,2023,360.176
Australia,Balance,Total oil products production,Consumption Pattern,2021,3669.39
Australia,Balance,Total oil products production,Consumption Pattern,2022,3669.39
Australia,Balance,Total oil products production,Consumption Pattern,2023,3676.634
Australia,Balance,Total oil products production,Net Deliveries,2021,45989.733
Australia,Balance,Total oil products production,Net Deliveries,2022,4161.86
Australia,Balance,Total oil products production,Net Deliveries,2023,4097.916
Australia,Balance,Total oil products production,Storage Channelization,2023,190.154
Austria,Balance,Crude oil,Consumption Pattern,2021,1157.987
Austria,Balance,Crude oil,Consumption Pattern,2022,1157.987
Austria,Balance,Crude oil,Consumption Pattern,2023,1237.197
Austria,Balance,Crude oil,Industrial Production,2021,561.852
Austria,Balance,Crude oil,Industrial Production,2022,41.264
Austria,Balance,Crude oil,Industrial Production,2023,38.864
Austria,Balance,Crude oil,Storage Channelization,2023,-2.807
Austria,Balance,Gasoline and diesel,Net Deliveries,2021,7447.889
Austria,Balance,Gasoline and diesel,Net Deliveries,2022,585.436
Austria,Balance,Gasoline and diesel,Net Deliveries,2023,535.731
Austria,Balance,Liquified Petroleum Gas,Net Deliveries,2021,85.57
Austria,Balance,Liquified Petroleum Gas,Net Deliveries,2022,7.008
Austria,Balance,Liquified Petroleum Gas,Net Deliveries,2023,6.332
Austria,Balance,Middle distillates,Consumption Pattern,2021,1186.67
Austria,Balance,Middle distillates,Consumption Pattern,2022,1084.896
Austria,Balance,Middle distillates,Consumption Pattern,2023,1119.002
Austria,Balance,Middle distillates,Storage Channelization,2023,0.138
Austria,Balance,Naphtha,Net Deliveries,2021,1081.534
Austria,Balance,Naphtha,Net Deliveries,2022,78.529
Austria,Balance,Naphtha,Net Deliveries,2023,74.639
Austria,Balance,Other oil products,Net Deliveries,2021,589.49
Austria,Balance,Other oil products,Net Deliveries,2022,25.239
Austria,Balance,Other oil products,Net Deliveries,2023,20.286
Austria,Balance,Residual fuel oil,Consumption Pattern,2021,140.234
Austria,Balance,Residual fuel oil,Consumption Pattern,2022,140.234
Austria,Balance,Residual fuel oil,Consumption Pattern,2023,135.97
Austria,Balance,Residual fuel oil,Net Deliveries,2021,65.507
Austria,Balance,Residual fuel oil,Net Deliveries,2022,4.706
Austria,Balance,Residual fuel oil,Net Deliveries,2023,3.627
Austria,Balance,Residual fuel oil,Storage Channelization,2023,30.002
Austria,Balance,Total gas oil production,Consumption Pattern,2021,349.824
Austria,Balance,Total gas oil production,Consumption Pattern,2022,349.824
Austria,Balance,Total gas oil production,Consumption Pattern,2023,315.049
Austria,Balance,Total gas oil production,Net Deliveries,2021,1501.374
Austria,Balance,Total gas oil production,Net Deliveries,2022,121.234
Austria,Balance,Total gas oil production,Net Deliveries,2023,131.39
Austria,Balance,Total gas oil production,Storage Channelization,2023,-2.786
Austria,Balance,Total kerosene production,Net Deliveries,2021,610.129
Austria,Balance,Total kerosene production,Net Deliveries,2022,57.957
Austria,Balance,Total kerosene production,Net Deliveries,2023,62.969
Austria,Balance,Total oil production,Consumption Pattern,2021,2828.824
Austria,Balance,Total oil production,Consumption Pattern,2022,2828.824
Austria,Balance,Total oil production,Consumption Pattern,2023,2890.695
Austria,Balance,Total oil production,Storage Channelization,2023,24.79
Austria,Balance,Total oil products production,Consumption Pattern,2021,1681.375
Austria,Balance,Total oil products production,Consumption Pattern,2022,1670.837
Austria,Balance,Total oil products production,Consumption Pattern,2023,1653.498
Austria,Balance,Total oil products production,Net Deliveries,2021,11113.216
Austria,Balance,Total oil products production,Net Deliveries,2022,880.109
Austria,Balance,Total oil products production,Net Deliveries,2023,834.974
Austria,Balance,Total oil products production,Storage Channelization,2023,27.597
Belgium,Balance,Crude oil,Consumption Pattern,2021,950.8
Belgium,Balance,Crude oil,Consumption Pattern,2022,881.2
Belgium,Balance,Crude oil,Consumption Pattern,2023,829.3
Belgium,Balance,Crude oil,Storage Channelization,2023,5.6
Belgium,Balance,Gasoline and diesel,Net Deliveries,2021,9352.0
Belgium,Balance,Gasoline and diesel,Net Deliveries,2022,871.8
Belgium,Balance,Gasoline and diesel,Net Deliveries,2023,761.0
Belgium,Balance,Liquified Petroleum Gas,Net Deliveries,2021,2378.1
Belgium,Balance,Liquified Petroleum Gas,Net Deliveries,2022,204.7
Belgium,Balance,Liquified Petroleum Gas,Net Deliveries,2023,213.9
Belgium,Balance,Middle distillates,Consumption Pattern,2021,3218.4
Belgium,Balance,Middle distillates,Consumption Pattern,2022,3218.4
Belgium,Balance,Middle distillates,Consumption Pattern,2023,3299.5
Belgium,Balance,Middle distillates,Storage Channelization,2023,58.2
Belgium,Balance,Naphtha,Net Deliveries,2021,4938.3
Belgium,Balance,Naphtha,Net Deliveries,2022,304.2
Belgium,Balance,Naphtha,Net Deliveries,2023,263.5
Belgium,Balance,Other oil products,Net Deliveries,2021,692.1
Belgium,Balance,Other oil products,Net Deliveries,2022,-29.1
Belgium,Balance,Other oil products,Net Deliveries,2023,45.2
